	radius_mean	texture_mean	perimeter_mean	area_mean	smoothness_mean	compactness_mean	concavity_mean	concave points_mean	symmetry_mean	fractal_dimension_mean	radius_se	texture_se	perimeter_se	area_se	smoothness_se	compactness_se	concavity_se	concave points_se	symmetry_se	fractal_dimension_se	radius_worst	texture_worst	perimeter_worst	area_worst	smoothness_worst	compactness_worst	concavity_worst	concave points_worst	symmetry_worst	fractal_dimension_worst	fitness
0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0.8748569962806209
1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0.874351673720662
2	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0.8782736950109016
3	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0.8776324227266898
4	1	1	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0.8698678979094524
5	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0.8775708605874054
6	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0.8662972938309605
7	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0.8711940489932026
8	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0.8779530588687956
9	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0.8828498140310376
10	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0.8929639604976273
11	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0.8859766576888546
12	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0.8862972938309608
